
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     73.767u      0.600s      5.978w      9 calls
JK: (A|mn)                          :    286.417u      0.000s     21.506w      9 calls
JK: (A|Q)^-1/2                      :     65.000u      0.867s      7.459w      9 calls
JK: (Q|mn)                          :     57.433u      0.017s      8.633w      9 calls
JK: (A|mn)^L                        :    118.033u      0.100s      8.871w      9 calls
JK: (A|Q)^-1                        :     64.933u      0.717s      7.428w      9 calls
JK: (Q|mn)^L                        :     55.233u      0.000s      8.280w      9 calls
JK: (A|mn)^R                        :    137.883u      0.117s     10.362w      9 calls
HF: Form core H                     :      1.000u      0.033s      0.083w      9 calls
HF: Form S/X                        :      1.917u      0.033s      0.144w      9 calls
HF: Guess                           :      9.767u      0.183s      0.751w      9 calls
SAD Guess                           :      9.600u      0.183s      0.735w      1 calls
HF: Form G                          :   5207.900u     68.233s    396.611w    111 calls
RV: Form V                          :   1241.183u      0.217s     93.207w    111 calls
Properties                          :    353.175p                         463238 calls
Functional                          :    114.816p                         463238 calls
V_xc                                :    420.630p                         428499 calls
JK: D                               :      0.217u      0.000s      0.029w    111 calls
JK: USO2AO                          :      0.717u      0.017s      0.039w    111 calls
JK: JK                              :   3964.783u     68.000s    303.251w    111 calls
JK: J                               :     36.333u      0.667s      3.208w    111 calls
JK: J1                              :     20.200u      0.417s      1.586w    111 calls
JK: J2                              :     15.033u      0.200s      1.560w    111 calls
JK: K                               :   1252.167u      3.150s     94.360w    111 calls
JK: K1                              :   1033.450u      0.217s     77.622w    111 calls
JK: K2                              :    218.617u      2.933s     16.720w    111 calls
JK: wK                              :   2205.850u      3.500s    165.920w    222 calls
JK: wK1                             :   1985.050u      0.617s    149.100w    444 calls
JK: wK2                             :    219.133u      2.800s     16.783w    222 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    111 calls
HF: Form F                          :      0.633u      0.050s      0.040w    111 calls
HF: Form D                          :      0.300u      0.000s      0.023w    111 calls
HF: DIIS                            :      9.800u      0.667s      0.800w    110 calls
DIISManager::add_entry              :      2.200u      0.200s      0.157w    102 calls
DIISManager::extrapolate            :      3.900u      0.383s      0.327w    102 calls
bMatrix setup                       :      1.800u      0.217s      0.154w    102 calls
bMatrix pseudoinverse               :      0.117u      0.000s      0.006w    102 calls
New vector                          :      1.983u      0.167s      0.165w    102 calls
HF: Form C                          :     21.683u      0.333s      1.647w    110 calls
Grad: V T Perturb                   :     45.183u      0.317s      3.414w      9 calls
Grad: S                             :      0.350u      0.000s      0.028w      9 calls
Grad: JK                            :   1749.817u     55.117s    175.299w      9 calls
JKGrad: Amn                         :    210.733u     13.233s     25.947w      9 calls
JKGrad: Awmn                        :    232.683u     13.283s     27.260w      9 calls
JKGrad: AB                          :     79.667u      2.433s      9.883w      9 calls
JKGrad: UV                          :     17.450u      1.933s      2.909w      9 calls
JKGrad: ABx                         :      9.650u      0.267s      1.053w      9 calls
JKGrad: Amnx                        :   1183.300u     23.200s    106.965w      9 calls
Grad: XC                            :    375.417u      0.083s     28.195w      9 calls
V_xc gradient                       :     77.658p                          34739 calls

--------------------------------------------------------------------------------------
V: Grid                             :     73.767u      0.600s      5.978w      9 calls
JK: (A|mn)                          :    286.417u      0.000s     21.506w      9 calls
JK: (A|Q)^-1/2                      :     65.000u      0.867s      7.459w      9 calls
JK: (Q|mn)                          :     57.433u      0.017s      8.633w      9 calls
JK: (A|mn)^L                        :    118.033u      0.100s      8.871w      9 calls
JK: (A|Q)^-1                        :     64.933u      0.717s      7.428w      9 calls
JK: (Q|mn)^L                        :     55.233u      0.000s      8.280w      9 calls
JK: (A|mn)^R                        :    137.883u      0.117s     10.362w      9 calls
HF: Form core H                     :      1.000u      0.033s      0.083w      9 calls
HF: Form S/X                        :      1.917u      0.033s      0.144w      9 calls
HF: Guess                           :      9.767u      0.183s      0.751w      9 calls
| SAD Guess                         :      9.600u      0.183s      0.735w      1 calls
HF: Form G                          :   5207.900u     68.233s    396.611w    111 calls
| RV: Form V                        :   1241.183u      0.217s     93.207w    111 calls
| | Properties                      :    216.148p                         428499 calls
| | Functional                      :    105.968p                         428499 calls
| | V_xc                            :    420.630p                         428499 calls
| JK: D                             :      0.217u      0.000s      0.029w    111 calls
| JK: USO2AO                        :      0.717u      0.017s      0.039w    111 calls
| JK: JK                            :   3964.783u     68.000s    303.251w    111 calls
| | JK: J                           :     36.333u      0.667s      3.208w    111 calls
| | | JK: J1                        :     20.200u      0.417s      1.586w    111 calls
| | | JK: J2                        :     15.033u      0.200s      1.560w    111 calls
| | JK: K                           :   1252.167u      3.150s     94.360w    111 calls
| | | JK: K1                        :   1033.450u      0.217s     77.622w    111 calls
| | | JK: K2                        :    218.617u      2.933s     16.720w    111 calls
| | JK: wK                          :   2205.850u      3.500s    165.920w    222 calls
| | | JK: wK1                       :   1985.050u      0.617s    149.100w    444 calls
| | | JK: wK2                       :    219.133u      2.800s     16.783w    222 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    111 calls
HF: Form F                          :      0.633u      0.050s      0.040w    111 calls
HF: Form D                          :      0.300u      0.000s      0.023w    111 calls
HF: DIIS                            :      9.800u      0.667s      0.800w    110 calls
| DIISManager::add_entry            :      2.200u      0.200s      0.157w    102 calls
| DIISManager::extrapolate          :      3.900u      0.383s      0.327w    102 calls
| | bMatrix setup                   :      1.800u      0.217s      0.154w    102 calls
| | bMatrix pseudoinverse           :      0.117u      0.000s      0.006w    102 calls
| | New vector                      :      1.983u      0.167s      0.165w    102 calls
HF: Form C                          :     21.683u      0.333s      1.647w    110 calls
Grad: V T Perturb                   :     45.183u      0.317s      3.414w      9 calls
Grad: S                             :      0.350u      0.000s      0.028w      9 calls
Grad: JK                            :   1749.817u     55.117s    175.299w      9 calls
| JKGrad: Amn                       :    210.733u     13.233s     25.947w      9 calls
| JKGrad: Awmn                      :    232.683u     13.283s     27.260w      9 calls
| JKGrad: AB                        :     79.667u      2.433s      9.883w      9 calls
| JKGrad: UV                        :     17.450u      1.933s      2.909w      9 calls
| JKGrad: ABx                       :      9.650u      0.267s      1.053w      9 calls
| JKGrad: Amnx                      :   1183.300u     23.200s    106.965w      9 calls
Grad: XC                            :    375.417u      0.083s     28.195w      9 calls
| Properties                        :    137.027p                          34739 calls
| Functional                        :      8.848p                          34739 calls
| V_xc gradient                     :     77.658p                          34739 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:23:17 2021
Timers Off: Mon Jun 21 22:43:56 2021

Wall Time:     1238.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    126.183u      1.083s     10.174w     15 calls
JK: (A|mn)                          :    471.267u      0.067s     35.384w     15 calls
JK: (A|Q)^-1/2                      :    107.067u      1.267s     12.126w     15 calls
JK: (Q|mn)                          :     95.767u      0.000s     14.389w     15 calls
JK: (A|mn)^L                        :    194.900u      0.133s     14.647w     15 calls
JK: (A|Q)^-1                        :    107.350u      1.267s     12.175w     15 calls
JK: (Q|mn)^L                        :     91.950u      0.000s     13.798w     15 calls
