
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 21:28:29 2021
Timers Off: Mon Jun 21 21:49:05 2021

Wall Time:     1236.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     11.400u      0.167s      2.758w     36 calls
DFH: initialize()                   :   1473.317u     77.200s    135.473w     36 calls
DFH: AO Construction                :    410.950u     19.617s     33.392w     36 calls
DFH: AO-Met. Contraction            :    765.267u     46.633s     65.146w     36 calls
HF: Form core H                     :      0.617u      0.083s      0.157w     18 calls
HF: Form S/X                        :      3.733u      0.100s      0.295w     18 calls
HF: Guess                           :     10.200u      0.217s      0.798w     18 calls
SAD Guess                           :      9.983u      0.217s      0.777w      1 calls
HF: Form G                          :   1261.267u    114.033s    106.104w    323 calls
JK: D                               :      1.767u      0.100s      0.171w    648 calls
JK: USO2AO                          :      1.967u      0.067s      0.139w    648 calls
JK: JK                              :   3341.917u    343.250s    298.266w    648 calls
DFH: compute_JK()                   :   3341.883u    343.233s    298.261w    648 calls
DFH: Grabbing AOs                   :      0.050u      0.000s      0.001w    648 calls
DFH: compute_J                      :    386.233u      1.567s     30.078w    648 calls
DFH: compute_K                      :   2804.367u    313.817s    253.328w    648 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    648 calls
HF: Form F                          :      2.250u      0.067s      0.206w    323 calls
HF: Form D                          :      0.717u      0.017s      0.077w    323 calls
HF: DIIS                            :     32.867u      2.733s      2.741w    322 calls
DIISManager::add_entry              :      6.050u      0.717s      0.409w    305 calls
DIISManager::extrapolate            :     14.900u      1.633s      1.303w    305 calls
bMatrix setup                       :      7.367u      1.050s      0.663w    305 calls
bMatrix pseudoinverse               :      0.267u      0.033s      0.021w    305 calls
New vector                          :      7.233u      0.550s      0.617w    305 calls
HF: Form C                          :     63.117u      1.233s      4.939w    322 calls
DFMP2 Singles                       :      0.250u      0.017s      0.033w     18 calls
DFMP2 Aia                           :    360.450u     23.333s     44.758w     18 calls
DFMP2 (A|mn)                        :    255.583u      0.200s     19.852w     18 calls
DFMP2 (A|mn)C_mi                    :     24.683u      0.400s      1.949w     18 calls
DFMP2 (A|mi)C_na                    :     13.617u      0.017s      1.080w     18 calls
DFMP2 Aia Write                     :     23.750u      4.233s      2.243w     18 calls
DFMP2 iaQ                           :    150.150u     20.317s     25.584w     18 calls
DFMP2 Metric                        :     58.683u      1.267s      6.499w     18 calls
DFMP2 Aia Read                      :      0.917u      1.200s      0.781w     18 calls
DFMP2 (Q|A)(A|ia)                   :     44.833u      1.150s      6.924w     36 calls
DFMP2 Qia Write                     :      9.433u      3.233s      1.888w     18 calls
DFMP2 Qia Read                      :      1.000u      2.433s      2.079w     54 calls
DFMP2 Bia Write                     :      9.333u      3.300s      1.879w     18 calls
DFMP2 aiQ                           :      6.833u      7.450s      5.108w     18 calls
DFMP2 Tij                           :    813.050u     70.717s    161.402w     18 calls
DFMP2 Cia Read                      :      0.050u      2.467s      1.556w     36 calls
DFMP2 I                             :    544.117u     11.600s     83.508w     36 calls
DFMP2 T2                            :    141.983u      0.117s     11.502w     36 calls
DFMP2 G                             :    322.133u      0.767s     45.408w     18 calls
DFMP2 Pab                           :    122.450u      0.067s     18.399w     18 calls
DFMP2 Gia Write                     :     10.233u      3.650s      2.066w     18 calls
DFMP2 Tab                           :    447.867u     64.750s    101.103w     18 calls
DFMP2 Qai Read                      :      1.033u      1.200s      1.368w     36 calls
DFMP2 Pij                           :     59.833u      1.817s      6.318w     18 calls
DFMP2 gamma                         :     34.450u      7.233s      9.202w     18 calls
DFMP2 Gia Read                      :      0.117u      2.483s      1.570w     36 calls
DFMP2 g                             :     26.517u      0.017s      4.017w     18 calls
DFMP2 Gia                           :     29.167u     11.217s      8.221w     18 calls
DFMP2 aiG Write                     :      6.483u      2.267s      1.281w     18 calls
DFMP2 AB^x                          :     18.067u      0.217s      2.047w     18 calls
DFMP2 Amn^x                         :   1069.100u     21.533s    102.900w     18 calls
DFMP2 L                             :    464.350u     32.850s     63.203w     18 calls
DFMP2 P                             :      0.450u      0.000s      0.089w     18 calls
DFMP2 W                             :      0.500u      0.050s      0.085w     18 calls
DFMP2 Z                             :   2843.700u    269.800s    265.262w     18 calls
DFMP2 grad                          :   2148.733u    100.350s    238.635w     18 calls
Grad: V T Perturb                   :     94.433u      1.117s      7.448w     18 calls
Grad: S                             :      0.533u      0.000s      0.054w     18 calls
Grad: JK                            :   2049.850u     99.167s    230.549w     18 calls
CorrGrad: Amn                       :    456.683u     37.000s     61.780w     18 calls
CorrGrad: AB                        :    216.167u     15.267s     32.467w     18 calls
CorrGrad: UV                        :     80.233u     12.767s     17.516w     18 calls
CorrGrad: ABx                       :     18.683u      0.550s      2.084w     18 calls
CorrGrad: Amnx                      :   1242.483u     31.333s    113.747w     18 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.217u      0.017s      1.353w     18 calls
DFH: initialize()                   :    742.067u     38.933s     66.851w     18 calls
| DFH: AO Construction              :    205.583u      9.850s     16.353w     18 calls
| DFH: AO-Met. Contraction          :    383.917u     23.533s     32.171w     18 calls
HF: Form core H                     :      0.617u      0.083s      0.157w     18 calls
HF: Form S/X                        :      3.733u      0.100s      0.295w     18 calls
HF: Guess                           :     10.200u      0.217s      0.798w     18 calls
| SAD Guess                         :      9.983u      0.217s      0.777w      1 calls
HF: Form G                          :   1261.267u    114.033s    106.104w    323 calls
| JK: D                             :      0.967u      0.033s      0.089w    323 calls
| JK: USO2AO                        :      1.167u      0.033s      0.072w    323 calls
| JK: JK                            :   1257.150u    113.883s    105.775w    323 calls
| | DFH: compute_JK()               :   1257.133u    113.883s    105.773w    323 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w    323 calls
| | | DFH: compute_J                :    149.100u      0.300s     11.331w    323 calls
| | | DFH: compute_K                :   1048.533u    103.017s     88.994w    323 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    323 calls
HF: Form F                          :      2.250u      0.067s      0.206w    323 calls
HF: Form D                          :      0.717u      0.017s      0.077w    323 calls
HF: DIIS                            :     32.867u      2.733s      2.741w    322 calls
| DIISManager::add_entry            :      6.050u      0.717s      0.409w    305 calls
| DIISManager::extrapolate          :     14.900u      1.633s      1.303w    305 calls
| | bMatrix setup                   :      7.367u      1.050s      0.663w    305 calls
| | bMatrix pseudoinverse           :      0.267u      0.033s      0.021w    305 calls
| | New vector                      :      7.233u      0.550s      0.617w    305 calls
HF: Form C                          :     63.117u      1.233s      4.939w    322 calls
DFMP2 Singles                       :      0.250u      0.017s      0.033w     18 calls
DFMP2 Aia                           :    360.450u     23.333s     44.758w     18 calls
